Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,feature_1,feature_2,feature_3,feature_4
L,298.9,308.9,1830,24.9,35,0,92330.20999999999,73.49397590361446,64050,871.5
M,298.9,308.9,1727,27.1,37,0,92330.20999999999,63.72693726937269,63899,1002.7
L,299.1,309.0,1450,43.0,40,0,92421.90000000001,33.72093023255814,58000,1720.0
L,299.0,308.9,1622,31.9,42,0,92361.09999999999,50.84639498432602,68124,1339.8
M,299.0,309.0,1351,52.2,44,0,92391.0,25.881226053639846,59444,2296.8
M,299.0,309.0,1575,35.3,47,0,92391.0,44.61756373937678,74025,1659.1
M,298.9,308.9,1750,29.9,50,0,92330.20999999999,58.52842809364549,87500,1495.0
L,298.9,308.8,1529,32.7,53,0,92300.31999999999,46.75840978593272,81037,1733.1000000000001
L,298.8,308.8,1523,44.4,55,0,92269.44,34.3018018018018,83765,2442.0
L,298.8,308.9,1852,25.0,57,0,92299.31999999999,74.08,105564,1425.0
L,298.8,308.8,1991,20.7,59,0,92269.44,96.18357487922705,117469,1221.3
L,298.8,308.8,1555,40.6,61,0,92269.44,38.30049261083744,94855,2476.6
M,298.8,308.8,1441,40.5,63,0,92269.44,35.58024691358025,90783,2551.5
L,298.8,308.7,1450,43.4,66,0,92239.56,33.41013824884793,95700,2864.4
L,298.8,308.7,1591,31.1,68,0,92239.56,51.157556270096464,108188,2114.8
L,298.8,308.7,1445,48.5,70,0,92239.56,29.79381443298969,101150,3395.0
M,298.8,308.8,1497,46.8,72,0,92269.44,31.98717948717949,107784,3369.6
H,298.9,308.8,1621,32.7,75,0,92300.31999999999,49.571865443425075,121575,2452.5
L,298.9,308.7,1572,34.1,80,0,92270.43,46.09970674486803,125760,2728.0
L,298.8,308.6,1872,22.5,82,0,92209.68000000001,83.2,153504,1845.0
H,298.7,308.6,1499,43.5,84,0,92178.82,34.45977011494253,125916,3654.0
M,298.8,308.7,1498,39.5,89,0,92239.56,37.924050632911396,133322,3515.5
M,298.8,308.6,1486,41.9,92,0,92209.68000000001,35.4653937947494,136712,3854.7999999999997
L,298.8,308.6,1680,29.4,95,0,92209.68000000001,57.142857142857146,159600,2793.0
L,298.8,308.6,1431,45.7,97,0,92209.68000000001,31.312910284463893,138807,4432.900000000001
L,298.9,308.7,1564,34.1,99,0,92270.43,45.86510263929618,154836,3375.9
L,298.8,308.6,1599,33.0,101,0,92209.68000000001,48.45454545454545,161499,3333.0
M,298.8,308.6,1707,28.1,103,0,92209.68000000001,60.74733096085409,175821,2894.3
L,298.7,308.5,1467,40.7,106,0,92148.95,36.04422604422604,155502,4314.200000000001
L,298.9,308.7,1433,44.7,108,0,92270.43,32.05816554809843,154764,4827.6
L,298.9,308.7,1558,41.2,110,0,92270.43,37.81553398058252,171380,4532.0
L,299.0,308.8,1310,50.7,112,0,92331.2,25.83826429980276,146720,5678.400000000001
L,298.9,308.7,1546,43.4,114,0,92270.43,35.622119815668206,176244,4947.599999999999
L,298.9,308.7,1727,29.4,116,0,92270.43,58.74149659863946,200332,3410.3999999999996
L,298.9,308.6,1560,32.2,118,0,92240.54,48.44720496894409,184080,3799.6000000000004
L,299.0,308.6,1329,60.5,120,0,92271.40000000001,21.96694214876033,159480,7260.0
L,298.9,308.6,1413,46.5,122,0,92240.54,30.387096774193548,172386,5673.0
L,299.0,308.6,1587,38.6,124,0,92271.40000000001,41.1139896373057,196788,4786.400000000001
L,298.9,308.5,1559,34.3,126,0,92210.65,45.45189504373178,196434,4321.799999999999
L,298.8,308.4,1473,41.1,128,0,92149.92,35.83941605839416,188544,5260.8
L,298.8,308.4,1737,27.7,130,0,92149.92,62.707581227436826,225810,3601.0
M,298.7,308.4,1441,43.2,132,0,92119.07999999999,33.35648148148148,190212,5702.400000000001
M,298.7,308.4,1430,49.6,135,0,92119.07999999999,28.83064516129032,193050,6696.0
L,298.8,308.4,1369,53.0,138,0,92149.92,25.830188679245282,188922,7314.0
M,298.8,308.5,1711,28.5,140,0,92179.8,60.03508771929825,239540,3990.0
H,298.7,308.5,1420,45.7,143,0,92148.95,31.072210065645514,203060,6535.1
L,298.7,308.6,1297,55.3,148,0,92178.82,23.453887884267633,191956,8184.4
H,298.8,308.6,1449,49.4,150,0,92209.68000000001,29.331983805668017,217350,7410.0
L,298.8,308.6,1268,55.8,155,0,92209.68000000001,22.724014336917563,196540,8649.0
L,298.8,308.6,1511,36.1,157,0,92209.68000000001,41.855955678670355,237227,5667.7
L,298.7,308.5,1544,35.2,159,0,92148.95,43.86363636363636,245496,5596.8
M,298.6,308.4,1778,28.2,161,0,92088.24,63.04964539007092,286258,4540.2
H,298.6,308.4,1407,50.5,164,0,92088.24,27.861386138613863,230748,8282.0
M,298.6,308.4,1391,42.4,169,0,92088.24,32.806603773584904,235079,7165.599999999999
L,298.5,308.4,1513,33.6,172,0,92057.4,45.029761904761905,260236,5779.2
H,298.5,308.4,1612,36.1,174,0,92057.4,44.65373961218837,280488,6281.400000000001
L,298.4,308.4,1515,40.1,179,0,92026.55999999998,37.780548628428924,271185,7177.900000000001
M,298.3,308.3,1379,48.0,181,0,91965.89000000001,28.729166666666668,249599,8688.0
L,298.4,308.3,1473,39.9,184,0,91996.72,36.91729323308271,271032,7341.599999999999
L,298.4,308.3,1422,42.7,186,0,91996.72,33.30210772833723,264492,7942.200000000001
M,298.4,308.2,1463,37.6,188,0,91966.87999999999,38.909574468085104,275044,7068.8
M,298.4,308.2,1584,41.0,191,0,91966.87999999999,38.63414634146341,302544,7831.0
L,298.4,308.2,1850,27.0,194,0,91966.87999999999,68.51851851851852,358900,5238.0
L,298.4,308.2,1528,36.2,196,0,91966.87999999999,42.209944751381215,299488,7095.200000000001
H,298.4,308.2,1987,19.8,198,0,91966.87999999999,100.35353535353535,393426,3920.4
M,298.4,308.1,1495,46.0,203,0,91937.04,32.5,303485,9338.0
H,298.4,308.2,1478,43.5,206,0,91966.87999999999,33.97701149425287,304468,8961.0
M,298.4,308.2,1499,40.0,211,0,91966.87999999999,37.475,316289,8440.0
L,298.4,308.2,1471,47.0,214,0,91966.87999999999,31.29787234042553,314794,10058.0
L,298.4,308.2,1282,60.7,216,1,91966.87999999999,21.12026359143328,276912,13111.2
L,298.3,308.1,1412,52.3,218,1,91906.23000000001,26.9980879541109,307816,11401.4
L,298.3,308.1,1586,35.5,0,0,91906.23000000001,44.67605633802817,0,0.0
M,298.4,308.2,1468,43.8,2,0,91966.87999999999,33.51598173515982,2936,87.6
M,298.5,308.3,1440,43.6,5,0,92027.55,33.027522935779814,7200,218.0
L,298.5,308.4,1733,26.0,8,0,92057.4,66.65384615384616,13864,208.0
H,298.4,308.2,1612,32.6,10,0,91966.87999999999,49.4478527607362,16120,326.0
H,298.4,308.3,1458,42.9,15,0,91996.72,33.98601398601399,21870,643.5
L,298.4,308.3,1433,62.3,20,1,91996.72,23.0016051364366,28660,1246.0
L,298.4,308.3,1318,59.1,22,0,91996.72,22.301184433164128,28996,1300.2
M,298.4,308.2,1610,35.0,24,0,91966.87999999999,46.0,38640,840.0
L,298.2,308.1,1462,50.8,27,0,91875.42,28.77952755905512,39474,1371.6
M,298.1,308.0,1924,20.8,29,0,91814.8,92.5,55796,603.2
M,298.2,308.0,1591,33.7,32,0,91845.59999999999,47.2106824925816,50912,1078.4
L,298.2,308.1,1306,58.3,35,0,91875.42,22.40137221269297,45710,2040.5
L,298.2,308.1,1382,43.5,37,0,91875.42,31.770114942528735,51134,1609.5
L,298.2,308.1,1618,34.7,39,0,91875.42,46.62824207492795,63102,1353.3000000000002
L,298.2,308.2,1988,21.4,41,0,91905.23999999999,92.89719626168225,81508,877.4
L,298.2,308.2,1436,50.2,43,0,91905.23999999999,28.605577689243027,61748,2158.6
L,298.2,308.3,1304,49.8,45,0,91935.06,26.184738955823295,58680,2241.0
L,298.2,308.3,1475,49.9,47,0,91935.06,29.559118236472948,69325,2345.2999999999997
H,298.2,308.3,1824,24.2,49,0,91935.06,75.37190082644628,89376,1185.8
M,298.1,308.2,1342,48.1,54,0,91874.42,27.9002079002079,72468,2597.4
L,298.1,308.2,1485,40.7,57,0,91874.42,36.486486486486484,84645,2319.9
L,298.2,308.2,1667,30.6,59,0,91905.23999999999,54.47712418300653,98353,1805.4
L,298.2,308.2,1446,38.2,61,0,91905.23999999999,37.853403141361255,88206,2330.2000000000003
L,298.1,308.3,1301,56.0,63,0,91904.23000000001,23.232142857142858,81963,3528.0
L,298.2,308.4,1379,43.1,65,0,91964.87999999999,31.995359628770302,89635,2801.5
L,298.3,308.5,1606,33.6,67,0,92025.55,47.797619047619044,107602,2251.2000000000003
M,298.3,308.4,1539,43.4,69,0,91995.72,35.46082949308756,106191,2994.6
L,298.2,308.4,1477,49.9,72,0,91964.87999999999,29.59919839679359,106344,3592.7999999999997
L,298.2,308.4,1666,34.6,74,0,91964.87999999999,48.15028901734104,123284,2560.4
H,298.2,308.4,1398,51.8,76,0,91964.87999999999,26.98841698841699,106248,3936.7999999999997
H,298.2,308.4,1678,34.6,81,0,91964.87999999999,48.49710982658959,135918,2802.6
M,298.2,308.5,2678,10.7,86,1,91994.7,250.2803738317757,230308,920.1999999999999
L,298.3,308.5,1453,42.9,89,0,92025.55,33.86946386946387,129317,3818.1
H,298.3,308.6,1432,49.5,91,0,92055.38,28.92929292929293,130312,4504.5
M,298.4,308.6,1527,40.9,96,0,92086.24,37.334963325183374,146592,3926.3999999999996
L,298.4,308.7,1588,35.0,99,0,92116.07999999999,45.371428571428574,157212,3465.0
L,298.4,308.6,1433,47.1,101,0,92086.24,30.424628450106155,144733,4757.1
L,298.4,308.6,1609,35.0,103,0,92086.24,45.97142857142857,165727,3605.0
L,298.3,308.5,1575,41.2,105,0,92025.55,38.228155339805824,165375,4326.0
M,298.4,308.5,1636,35.7,107,0,92056.4,45.82633053221288,175052,3819.9
L,298.4,308.5,1490,37.9,110,0,92056.4,39.31398416886544,163900,4169.0
L,298.4,308.5,1741,32.8,112,0,92056.4,53.07926829268293,194992,3673.5999999999995
M,298.5,308.6,1344,53.0,114,0,92117.1,25.358490566037737,153216,6042.0
L,298.5,308.7,1609,35.3,117,0,92146.95,45.58073654390935,188253,4130.099999999999
M,298.4,308.7,1421,60.7,119,1,92116.07999999999,23.410214168039538,169099,7223.3
L,298.4,308.6,1591,36.7,122,0,92086.24,43.35149863760218,194102,4477.400000000001
L,298.4,308.6,1477,44.0,124,0,92086.24,33.56818181818182,183148,5456.0
L,298.4,308.7,1523,36.1,126,0,92116.07999999999,42.18836565096953,191898,4548.6
L,298.5,308.7,1575,33.9,128,0,92146.95,46.46017699115045,201600,4339.2
H,298.4,308.7,1344,52.9,130,0,92116.07999999999,25.406427221172024,174720,6877.0
L,298.4,308.7,1386,44.9,135,0,92116.07999999999,30.868596881959913,187110,6061.5
M,298.3,308.6,1589,37.1,137,0,92055.38,42.83018867924528,217693,5082.7
L,298.3,308.6,1548,40.3,140,0,92055.38,38.411910669975185,216720,5642.0
L,298.3,308.6,1499,38.3,142,0,92055.38,39.13838120104439,212858,5438.599999999999
L,298.3,308.5,1664,31.6,144,0,92025.55,52.65822784810126,239616,4550.400000000001
L,298.3,308.6,1447,38.1,146,0,92055.38,37.979002624671914,211262,5562.6
M,298.3,308.5,1434,46.2,148,0,92025.55,31.038961038961038,212232,6837.6
L,298.3,308.5,1416,52.7,151,0,92025.55,26.86907020872865,213816,7957.700000000001
H,298.4,308.5,1827,24.3,153,0,92056.4,75.18518518518518,279531,3717.9
L,298.4,308.6,1304,45.0,158,0,92086.24,28.977777777777778,206032,7110.0
L,298.4,308.6,1569,34.4,160,0,92086.24,45.61046511627907,251040,5504.0
L,298.3,308.6,1584,29.3,162,0,92055.38,54.06143344709898,256608,4746.6
L,298.3,308.5,1362,53.8,164,0,92025.55,25.315985130111525,223368,8823.199999999999
L,298.3,308.4,1329,49.2,166,0,91995.72,27.01219512195122,220614,8167.200000000001
L,298.3,308.5,1539,36.1,168,0,92025.55,42.63157894736842,258552,6064.8
M,298.3,308.5,1629,37.1,170,0,92025.55,43.908355795148246,276930,6307.0
L,298.3,308.5,1538,32.2,173,0,92025.55,47.763975155279496,266074,5570.6
L,298.3,308.6,1570,34.8,175,0,92055.38,45.11494252873564,274750,6089.999999999999
L,298.3,308.4,1408,43.1,177,0,91995.72,32.66821345707657,249216,7628.7
L,298.2,308.4,1424,47.6,179,0,91964.87999999999,29.915966386554622,254896,8520.4
L,298.2,308.4,1512,34.9,181,0,91964.87999999999,43.32378223495702,273672,6316.9
L,298.2,308.4,1478,42.9,183,0,91964.87999999999,34.452214452214456,270474,7850.7
M,298.1,308.3,1680,33.7,185,0,91904.23000000001,49.85163204747774,310800,6234.500000000001
L,298.1,308.3,1495,38.7,188,0,91904.23000000001,38.63049095607235,281060,7275.6
M,298.0,308.1,1552,36.6,190,0,91813.8,42.404371584699454,294880,6954.0
L,297.9,308.1,1393,50.3,193,0,91782.99,27.693836978131213,268849,9707.9
L,298.0,308.2,1611,30.6,195,0,91843.59999999999,52.647058823529406,314145,5967.0
M,298.0,308.1,1339,51.6,197,0,91813.8,25.949612403100776,263783,10165.2
L,298.0,308.1,1777,24.3,200,0,91813.8,73.1275720164609,355400,4860.0
L,298.0,308.2,1348,58.8,202,1,91843.59999999999,22.925170068027214,272296,11877.599999999999
L,298.0,308.2,1442,44.1,204,0,91843.59999999999,32.698412698412696,294168,8996.4
M,298.0,308.2,1395,49.1,206,0,91843.59999999999,28.41140529531568,287370,10114.6
M,297.9,308.1,1627,31.4,209,0,91782.99,51.81528662420382,340043,6562.599999999999
L,297.9,308.1,1585,33.5,212,0,91782.99,47.3134328358209,336020,7102.0
L,298.0,308.2,1469,45.5,214,0,91843.59999999999,32.285714285714285,314366,9737.0
L,298.0,308.3,1362,56.8,216,1,91873.40000000001,23.97887323943662,294192,12268.8
L,298.0,308.3,1405,56.2,218,1,91873.40000000001,25.0,306290,12251.6
L,298.0,308.3,1662,32.7,0,0,91873.40000000001,50.82568807339449,0,0.0
M,298.0,308.2,1466,42.6,2,0,91843.59999999999,34.413145539906104,2932,85.2
L,298.0,308.2,1620,35.8,5,0,91843.59999999999,45.2513966480447,8100,179.0
L,298.0,308.2,1357,48.2,7,0,91843.59999999999,28.153526970954356,9499,337.40000000000003
L,298.0,308.2,1514,37.9,9,0,91843.59999999999,39.94722955145119,13626,341.09999999999997
L,298.0,308.2,1489,40.4,11,0,91843.59999999999,36.85643564356436,16379,444.4
L,298.1,308.3,1331,63.0,13,0,91904.23000000001,21.126984126984127,17303,819.0
L,298.0,308.0,1615,29.5,15,0,91784.0,54.74576271186441,24225,442.5
L,298.1,308.2,1482,37.9,17,0,91874.42,39.10290237467019,25194,644.3
M,298.1,308.2,1420,63.9,19,1,91874.42,22.22222222222222,26980,1214.1
M,298.2,308.3,1522,49.1,22,0,91935.06,30.997963340122197,33484,1080.2
L,298.1,308.2,1654,32.1,25,0,91874.42,51.52647975077881,41350,802.5
M,298.1,308.2,1736,26.8,27,0,91874.42,64.77611940298507,46872,723.6
M,298.0,308.1,1587,32.3,30,0,91813.8,49.133126934984524,47610,968.9999999999999
L,298.1,308.2,1390,47.5,33,0,91874.42,29.263157894736842,45870,1567.5
L,298.0,308.1,1454,37.1,35,0,91813.8,39.19137466307277,50890,1298.5
H,298.0,308.1,1440,43.7,37,0,91813.8,32.951945080091534,53280,1616.9
L,297.9,308.0,1954,21.1,42,0,91753.2,92.60663507109004,82068,886.2
H,297.9,308.0,1800,24.8,44,0,91753.2,72.58064516129032,79200,1091.2
L,298.0,308.0,1524,37.0,49,0,91784.0,41.189189189189186,74676,1813.0
H,298.0,308.0,1520,39.6,51,0,91784.0,38.38383838383838,77520,2019.6000000000001
M,298.1,308.1,1452,40.8,56,0,91844.61000000002,35.58823529411765,81312,2284.7999999999997
L,298.1,308.1,1484,40.4,59,0,91844.61000000002,36.73267326732673,87556,2383.6
L,298.1,308.0,1426,46.0,61,0,91814.8,31.0,86986,2806.0
L,298.1,308.0,1652,28.5,63,0,91814.8,57.96491228070175,104076,1795.5
L,298.0,308.0,1401,54.7,65,0,91784.0,25.612431444241317,91065,3555.5
M,298.0,307.9,1750,26.6,67,0,91754.2,65.78947368421052,117250,1782.2
H,298.0,308.0,1479,50.7,70,0,91784.0,29.17159763313609,103530,3549.0
M,298.0,308.0,1620,29.4,75,0,91784.0,55.102040816326536,121500,2205.0
L,298.0,308.1,1819,23.4,78,0,91813.8,77.73504273504274,141882,1825.1999999999998
M,298.1,308.1,1456,43.7,80,0,91844.61000000002,33.31807780320366,116480,3496.0
L,298.1,308.0,1626,36.5,83,0,91814.8,44.54794520547945,134958,3029.5
M,298.1,308.1,1390,49.8,85,0,91844.61000000002,27.911646586345384,118150,4233.0
L,298.2,308.2,1469,43.0,88,0,91905.23999999999,34.16279069767442,129272,3784.0
L,298.2,308.3,2051,19.2,90,0,91935.06,106.82291666666667,184590,1728.0
L,298.2,308.3,1568,36.0,92,0,91935.06,43.55555555555556,144256,3312.0
L,298.2,308.3,1589,33.2,94,0,91935.06,47.861445783132524,149366,3120.8
L,298.2,308.3,1805,31.6,96,0,91935.06,57.12025316455696,173280,3033.6000000000004
H,298.2,308.4,1385,42.2,98,0,91964.87999999999,32.81990521327014,135730,4135.6
L,298.1,308.4,1436,46.7,103,0,91934.04,30.749464668094216,147908,4810.1
L,298.1,308.4,1438,45.6,105,0,91934.04,31.535087719298243,150990,4788.0
L,298.0,308.3,1473,42.6,107,0,91873.40000000001,34.57746478873239,157611,4558.2
L,298.1,308.4,1335,40.2,109,0,91934.04,33.208955223880594,145515,4381.8
H,298.1,308.5,1392,44.8,111,0,91963.85,31.071428571428573,154512,4972.799999999999
M,298.1,308.5,1372,51.1,116,0,91963.85,26.84931506849315,159152,5927.6
M,298.1,308.6,1716,30.7,119,0,91993.66000000002,55.8957654723127,204204,3653.2999999999997
L,298.0,308.5,1395,46.2,122,0,91933.0,30.19480519480519,170190,5636.400000000001
L,298.0,308.5,1713,25.3,124,0,91933.0,67.70750988142292,212412,3137.2000000000003
H,297.9,308.5,2129,18.7,126,0,91902.15,113.85026737967915,268254,2356.2
M,297.8,308.3,1567,35.6,131,0,91811.74,44.01685393258427,205277,4663.6
L,297.8,308.4,1622,38.3,134,0,91841.51999999999,42.34986945169713,217348,5132.2
L,297.7,308.4,1740,27.1,136,0,91810.68,64.20664206642066,236640,3685.6000000000004
H,297.8,308.4,1512,35.1,138,0,91841.51999999999,43.07692307692307,208656,4843.8
M,297.8,308.4,1479,43.5,143,0,91841.51999999999,34.0,211497,6220.5
L,297.8,308.4,1737,27.5,146,0,91841.51999999999,63.163636363636364,253602,4015.0
L,297.8,308.4,2129,19.2,148,0,91841.51999999999,110.88541666666667,315092,2841.6
L,297.8,308.4,1374,47.1,150,0,91841.51999999999,29.17197452229299,206100,7065.0
M,297.8,308.4,1579,36.6,152,0,91841.51999999999,43.14207650273224,240008,5563.2
L,297.9,308.5,1305,47.2,155,0,91902.15,27.64830508474576,202275,7316.0
M,297.9,308.5,1449,40.8,157,0,91902.15,35.51470588235294,227493,6405.599999999999
H,298.0,308.6,1526,41.8,160,0,91962.8,36.50717703349282,244160,6688.0
M,298.0,308.6,1453,44.1,165,0,91962.8,32.94784580498866,239745,7276.5
L,297.9,308.6,1468,36.0,168,0,91931.94,40.77777777777778,246624,6048.0
L,298.0,308.6,1313,50.8,170,0,91962.8,25.84645669291339,223210,8636.0
M,297.9,308.5,1300,53.0,172,0,91902.15,24.528301886792452,223600,9116.0
